sdp1length__SpiCfgData_813_fns sdp1length _SpiCfgData 0 813 NULL
C_SYSC_process_vm_writev_fndecl_821_fns C_SYSC_process_vm_writev fndecl 3-5 821 NULL
request_key_auth_read_fndecl_830_fns request_key_auth_read fndecl 3 830 NULL
_picolcd_flash_write_fndecl_853_fns _picolcd_flash_write fndecl 4 853 NULL
irnet_ctrl_write_fndecl_856_fns irnet_ctrl_write fndecl 3 856 NULL
rsi_copy_to_card_fndecl_858_fns rsi_copy_to_card fndecl 3 858 NULL
field_count_audit_rule_data_886_fns field_count audit_rule_data 0 886 NULL
rdma_copy_tail_fndecl_898_fns rdma_copy_tail fndecl 3 898 NULL
tcpprobe_sprint_fndecl_909_fns tcpprobe_sprint fndecl 0 909 NULL
icmp_len_batadv_socket_packet_944_fns icmp_len batadv_socket_packet 0 944 NULL
pcpu_embed_first_chunk_fndecl_947_fns pcpu_embed_first_chunk fndecl 1-2-3 947 NULL nohasharray
mei_amthif_read_fndecl_947_fns mei_amthif_read fndecl 4 947 &pcpu_embed_first_chunk_fndecl_947_fns
pci_num_vf_fndecl_952_fns pci_num_vf fndecl 0 952 NULL
em28xx_alloc_urbs_fndecl_983_fns em28xx_alloc_urbs fndecl 4 983 NULL
sm501_create_subio_fndecl_985_fns sm501_create_subio fndecl 3-4 985 NULL nohasharray
nd_integrity_init_fndecl_985_fns nd_integrity_init fndecl 2 985 &sm501_create_subio_fndecl_985_fns
ath6kl_add_bss_if_needed_fndecl_1006_fns ath6kl_add_bss_if_needed fndecl 6 1006 NULL
__dm_get_module_param_fndecl_1008_fns __dm_get_module_param fndecl 2-3-0 1008 NULL
s_last_cno_nilfs_super_block_1016_fns s_last_cno nilfs_super_block 0 1016 NULL
pci_scan_single_device_fndecl_1034_fns pci_scan_single_device fndecl 2 1034 NULL
vnic_dev_get_res_count_fndecl_1044_fns vnic_dev_get_res_count fndecl 0 1044 NULL
m5602_urb_complete_fndecl_1052_fns m5602_urb_complete fndecl 3 1052 NULL
rocker_dma_test_offset_fndecl_1055_fns rocker_dma_test_offset fndecl 3 1055 NULL
tcp_scalable_cong_avoid_fndecl_1067_fns tcp_scalable_cong_avoid fndecl 3 1067 NULL
line__mgslpc_info_1070_fns line _mgslpc_info 0 1070 NULL
create_attr_set_fndecl_1118_fns create_attr_set fndecl 1 1118 NULL
mdc800_device_read_fndecl_1123_fns mdc800_device_read fndecl 3 1123 NULL
ion_handle_test_kernel_fndecl_1127_fns ion_handle_test_kernel fndecl 3-4 1127 NULL
usblp_new_writeurb_fndecl_1149_fns usblp_new_writeurb fndecl 2 1149 NULL
nfs4_acl_bytes_fndecl_1168_fns nfs4_acl_bytes fndecl 1-0 1168 NULL
resp_disconnect_pg_fndecl_1178_fns resp_disconnect_pg fndecl 0 1178 NULL
mxr_mplane_fill_fndecl_1189_fns mxr_mplane_fill fndecl 3-4 1189 NULL
vme_get_size_fndecl_1191_fns vme_get_size fndecl 0 1191 NULL
pcpu_mem_zalloc_fndecl_1207_fns pcpu_mem_zalloc fndecl 1 1207 NULL
remote_settings_file_write_fndecl_1240_fns remote_settings_file_write fndecl 3 1240 NULL
cifs_local_to_utf16_bytes_fndecl_1250_fns cifs_local_to_utf16_bytes fndecl 0 1250 NULL
max_vports_lpfc_hba_1253_fns max_vports lpfc_hba 0 1253 NULL
num_slaves_mlx4_dev_1258_fns num_slaves mlx4_dev 0 1258 NULL
nfs_readdir_xdr_filler_fndecl_1265_fns nfs_readdir_xdr_filler fndecl 0 1265 NULL
viafb_dvp0_proc_write_fndecl_1276_fns viafb_dvp0_proc_write fndecl 3 1276 NULL
agp_alloc_page_array_fndecl_1289_fns agp_alloc_page_array fndecl 1 1289 NULL
vd_cbr_au_count_gru_vma_data_1314_fns vd_cbr_au_count gru_vma_data 0 1314 NULL
ccp_set_dm_area_fndecl_1351_fns ccp_set_dm_area fndecl 4 1351 NULL
tx_ring_count_xgbe_prv_data_1366_fns tx_ring_count xgbe_prv_data 0 1366 NULL
cfs_expr_list_values_fndecl_1371_fns cfs_expr_list_values fndecl 0 1371 NULL
reiserfs_get_block_fndecl_1379_fns reiserfs_get_block fndecl 2 1379 NULL
sctp_setsockopt_connectx_old_fndecl_1396_fns sctp_setsockopt_connectx_old fndecl 3 1396 NULL
wl1271_rx_filter_get_fields_size_fndecl_1405_fns wl1271_rx_filter_get_fields_size fndecl 0 1405 NULL
qlcnic_83xx_sysfs_flash_write_handler_fndecl_1419_fns qlcnic_83xx_sysfs_flash_write_handler fndecl 6 1419 NULL
reg_umr_fndecl_1421_fns reg_umr fndecl 5 1421 NULL
idma64_alloc_desc_fndecl_1433_fns idma64_alloc_desc fndecl 1 1433 NULL
__order_base_2_fndecl_1437_fns __order_base_2 fndecl 0 1437 NULL
rdev_num_s2mps11_info_1439_fns rdev_num s2mps11_info 0 1439 NULL
nr_cpusets_fndecl_1442_fns nr_cpusets fndecl 0 1442 NULL
memcg_update_list_lru_node_fndecl_1454_fns memcg_update_list_lru_node fndecl 3 1454 NULL
sys_ppoll_fndecl_1459_fns sys_ppoll fndecl 2 1459 NULL
ceph_decode_32_fndecl_1473_fns ceph_decode_32 fndecl 0 1473 NULL
ax25_output_fndecl_1475_fns ax25_output fndecl 2 1475 NULL
iio_debugfs_write_reg_fndecl_1477_fns iio_debugfs_write_reg fndecl 3 1477 NULL
cx18_copy_buf_to_user_fndecl_1500_fns cx18_copy_buf_to_user fndecl 0 1500 NULL
shmem_file_setup_fndecl_1517_fns shmem_file_setup fndecl 2 1517 NULL
qlcnic_sriov_init_fndecl_1529_fns qlcnic_sriov_init fndecl 2 1529 NULL
__aa_kvmalloc_fndecl_1547_fns __aa_kvmalloc fndecl 1 1547 NULL
libcfs_kvzalloc_fndecl_1568_fns libcfs_kvzalloc fndecl 1 1568 NULL
page_readlink_fndecl_1569_fns page_readlink fndecl 3 1569 NULL
kmem_zalloc_large_fndecl_1572_fns kmem_zalloc_large fndecl 1 1572 NULL
datafab_bulk_write_fndecl_1597_fns datafab_bulk_write fndecl 3 1597 NULL
size_icp_qat_uof_batch_init_1600_fns size icp_qat_uof_batch_init 0 1600 NULL
skl_get_module_param_size_fndecl_1615_fns skl_get_module_param_size fndecl 0 1615 NULL
kobil_write_fndecl_1651_fns kobil_write fndecl 4 1651 NULL
copied_rpc_pipe_msg_1658_fns copied rpc_pipe_msg 0 1658 NULL
hidraw_send_report_fndecl_1674_fns hidraw_send_report fndecl 3 1674 NULL
vzalloc_node_fndecl_1683_fns vzalloc_node fndecl 1 1683 NULL
linear_conf_fndecl_1710_fns linear_conf fndecl 2 1710 NULL
devm_iio_device_alloc_fndecl_1732_fns devm_iio_device_alloc fndecl 2 1732 NULL
__gfn_to_hva_many_fndecl_1735_fns __gfn_to_hva_many fndecl 2 1735 NULL
compat_filldir_fndecl_1746_fns compat_filldir fndecl 3 1746 NULL
copy_module_from_user_fndecl_1751_fns copy_module_from_user fndecl 2 1751 NULL
lustre_acl_xattr_merge2ext_fndecl_1757_fns lustre_acl_xattr_merge2ext fndecl 2 1757 NULL
reiserfs_add_entry_fndecl_1797_fns reiserfs_add_entry fndecl 4 1797 NULL
rt2x00debug_write_eeprom_fndecl_1824_fns rt2x00debug_write_eeprom fndecl 3 1824 NULL
__add_prelim_ref_fndecl_1828_fns __add_prelim_ref fndecl 2-5-6 1828 NULL
ntfs_ucstonls_fndecl_1834_fns ntfs_ucstonls fndecl 3-5 1834 NULL
kvm_mmu_gva_to_gpa_write_fndecl_1840_fns kvm_mmu_gva_to_gpa_write fndecl 0 1840 NULL
check_free_sectors_fndecl_1843_fns check_free_sectors fndecl 2 1843 NULL
vm_map_ram_fndecl_1845_fns vm_map_ram fndecl 2 1845 NULL
device_slot_1847_fns device slot 0 1847 NULL
drm_mode_create_tv_properties_fndecl_1857_fns drm_mode_create_tv_properties fndecl 2 1857 NULL
da9150_write_qif_fndecl_1872_fns da9150_write_qif fndecl 3 1872 NULL
bset_tree_bytes_fndecl_1876_fns bset_tree_bytes fndecl 0 1876 NULL
mwl8k_cmd_set_beacon_fndecl_1877_fns mwl8k_cmd_set_beacon fndecl 4 1877 NULL
num_vmdq_vsis_i40e_pf_1882_fns num_vmdq_vsis i40e_pf 0 1882 NULL
_iwl_dbgfs_fw_dbg_collect_write_fndecl_1890_fns _iwl_dbgfs_fw_dbg_collect_write fndecl 3 1890 NULL
mpi_alloc_limb_space_fndecl_1925_fns mpi_alloc_limb_space fndecl 1 1925 NULL
usblp_write_fndecl_1945_fns usblp_write fndecl 3 1945 NULL
sd_init_fndecl_1946_fns sd_init fndecl 0 1946 NULL
gss_pipe_downcall_fndecl_1949_fns gss_pipe_downcall fndecl 3 1949 NULL
mcryptd_alloc_instance_fndecl_1958_fns mcryptd_alloc_instance fndecl 2-3 1958 NULL
